,game_date,home_team,away_team,city,distance_from_last_location_home_team,distance_from_last_location_away_team
350,2000-04-30,CHN,ARI,Chicago,10159.00877586389,2340.6634690553337
351,2000-04-30,COL,NYN,Denver,1950.2528819683787,9349.52862043619
352,2000-04-30,LAN,FLO,Los Angeles,3974.8856076394213,3764.185821582286
353,2000-04-30,MIL,HOU,Milwaukee,522.3574047614876,719.6245108451392
354,2000-04-30,PHI,SLN,Philadelphia,3351.29798207518,1303.182115517947
355,2000-04-30,PIT,CIN,Pittsburgh,0.0,414.99520785227077
356,2000-04-30,SDN,ATL,San Diego,3915.39807350928,3043.8850912547364
357,2000-04-30,SFN,MON,San Francisco,4175.4954817182615,4093.804290596401
358,2000-04-30,ANA,TBA,Anaheim,0.0,2442.3606921895343
359,2000-04-30,BAL,TEX,Baltimore,0.0,1980.102843370817
360,2000-04-30,CLE,BOS,Cleveland,496.24153962192827,3260.188257755617
361,2000-04-30,DET,CHA,Detroit,3353.596216190899,1632.731820083063
362,2000-04-30,KCA,SEA,Kansas City,1365.4101499105916,2423.5598623823344
363,2000-04-30,MIN,OAK,Minneapolis,0.0,2537.4425377612374
364,2000-04-30,NYA,TOR,New York,3926.295550369479,551.2472669034609
365,2000-05-01,COL,MON,Denver,1950.2528819683787,2637.300965737685
366,2000-05-01,LAN,ATL,Los Angeles,3974.8856076394213,3116.7441599966605
367,2000-05-01,MIL,HOU,Milwaukee,522.3574047614876,719.6245108451392
368,2000-05-01,SDN,FLO,San Diego,3915.39807350928,3655.9293655861343
369,2000-05-01,SFN,NYN,San Francisco,4175.4954817182615,8284.53108147774
370,2000-05-01,BOS,DET,Boston,4010.9713255337056,4330.993319347035
371,2000-05-01,CHA,TOR,Chicago,1315.6827805633404,702.4693684489885
372,2000-05-01,CLE,NYA,Cleveland,496.24153962192827,3280.610632544294
373,2000-05-01,KCA,OAK,Kansas City,1365.4101499105916,2412.2688714295277
374,2000-05-02,CHN,HOU,Chicago,10159.00877586389,660.0111716557741
375,2000-05-02,COL,MON,Denver,1950.2528819683787,2637.300965737685
376,2000-05-02,LAN,ATL,Los Angeles,3974.8856076394213,3116.7441599966605
377,2000-05-02,MIL,ARI,Milwaukee,522.3574047614876,2355.2363219055746
378,2000-05-02,PHI,CIN,Philadelphia,3351.29798207518,808.9772041838952
379,2000-05-02,SDN,FLO,San Diego,3915.39807350928,3655.9293655861343
380,2000-05-02,SFN,NYN,San Francisco,4175.4954817182615,8284.53108147774
381,2000-05-02,SLN,PIT,St. Louis,0.0,899.2319813553898
