,Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp
2016,2016,20000902,TBA,KCA,True,5,7,STP01,Tropicana Field,St. Petersburg,FL,42,6,2,0,0,25,3,5,1,38,5,2,0,1,22,3,4,1
2017,2017,20000902,TOR,OAK,True,0,8,TOR02,Rogers Centre,Toronto,ONT,42,5,1,1,2,22,4,7,0,36,4,0,1,0,20,7,4,0
2018,2018,20000903,ARI,FLO,True,10,5,PHO01,Chase Field,Phoenix,AZ,43,11,0,0,0,16,11,3,2,43,12,4,1,1,17,3,4,1
2019,2019,20000903,CIN,MON,True,8,1,CIN08,Cinergy Field,Cincinnati,OH,41,9,1,1,0,21,5,4,0,41,8,2,0,2,15,6,7,1
2020,2020,20000903,COL,MIL,True,4,6,DEN02,Coors Field,Denver,CO,49,8,2,0,3,28,2,6,0,45,8,0,0,0,23,8,6,0
2021,2021,20000903,HOU,ATL,True,9,3,HOU03,Minute Maid Park,Houston,TX,42,7,3,1,0,16,10,4,1,41,12,1,0,2,22,1,3,0
2022,2022,20000903,LAN,PHI,False,6,1,LOS03,Dodger Stadium,Los Angeles,CA,37,4,0,0,0,18,7,8,0,35,7,0,0,2,12,10,4,0
2023,2023,20000903,SDN,PIT,True,6,8,SAN01,Qualcomm Stadium,San Diego,CA,56,10,0,0,1,31,8,5,1,60,13,2,0,1,30,9,4,1
2024,2024,20000903,SFN,CHN,True,5,2,SFO03,Oracle Park,San Francisco,CA,33,3,2,0,0,18,10,0,0,43,8,4,0,1,18,5,7,0
2025,2025,20000903,SLN,NYN,True,4,3,STL09,Busch Stadium II,St. Louis,MO,43,3,1,0,1,18,12,8,0,39,5,0,0,2,21,8,2,1
2026,2026,20000903,BOS,SEA,True,0,5,BOS07,Fenway Park,Boston,MA,40,3,5,0,1,21,4,6,0,32,1,0,0,0,21,6,4,0
2027,2027,20000903,CHA,ANA,True,13,12,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,46,3,3,0,5,20,6,9,0,44,7,6,1,1,21,2,5,1
2028,2028,20000903,CLE,BAL,True,12,11,CLE08,Progressive Field,Cleveland,OH,56,5,7,1,3,28,8,4,0,64,14,3,0,1,26,8,10,2
2029,2029,20000903,DET,TEX,True,1,4,DET05,Comerica Park,Detroit,MI,39,9,2,0,0,21,5,2,0,37,6,1,0,0,24,3,3,0
2030,2030,20000903,NYA,MIN,True,1,2,NYC16,Yankee Stadium I,New York,NY,37,3,0,0,1,21,9,3,0,40,4,0,0,1,20,8,7,0
2031,2031,20000903,TBA,KCA,True,2,8,STP01,Tropicana Field,St. Petersburg,FL,39,7,2,0,1,20,6,2,1,37,5,1,0,0,19,6,6,0
2032,2032,20000903,TOR,OAK,True,3,4,TOR02,Rogers Centre,Toronto,ONT,34,3,1,0,3,23,4,0,0,34,6,2,0,0,20,6,0,0
2033,2033,20000904,CIN,NYN,True,6,2,CIN08,Cinergy Field,Cincinnati,OH,37,2,3,0,1,24,4,3,0,38,5,2,0,1,20,4,5,1
2034,2034,20000904,COL,CHN,True,6,2,DEN02,Coors Field,Denver,CO,38,7,0,0,1,17,10,3,0,39,8,1,1,2,16,6,5,0
2035,2035,20000904,HOU,FLO,True,2,5,HOU03,Minute Maid Park,Houston,TX,42,10,1,0,0,22,5,4,0,33,1,3,1,0,14,11,3,0
