,game_date,home_team,away_team,is_day_game,venue,venue_name,city,distance_from_last_location_home_team,distance_from_last_location_away_team
1249,20000707,CHN,CHA,True,CHI11,Wrigley Field,Chicago,10159.00877586389,1315.6827805633404
1250,20000707,CIN,CLE,False,CIN08,Cinergy Field,Cincinnati,0.0,682.7086257136433
1251,20000707,FLO,TBA,False,MIA01,Sun Life Stadium,Miami,0.0,2432.0584526242806
1252,20000707,HOU,KCA,False,HOU03,Minute Maid Park,Houston,1830.9507633957282,2094.2172206168743
1253,20000707,MIL,DET,False,MIL05,County Stadium,Milwaukee,522.3574047614876,2950.9176713004044
1254,20000707,MON,TOR,False,MON02,Stade Olympique,Montreal,0.0,505.2947101266774
1255,20000707,NYN,NYA,False,NYC17,Shea Stadium,New York,10870.832449398718,3926.295550369479
1256,20000707,PHI,BAL,False,PHI12,Veterans Stadium,Philadelphia,3351.29798207518,144.3618561155261
1257,20000707,PIT,MIN,False,PIT07,Three Rivers Stadium,Pittsburgh,0.0,1196.6777926724924
1258,20000707,SLN,SFN,False,STL09,Busch Stadium II,St. Louis,0.0,1706.2963552807519
1259,20000707,ANA,COL,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,3090.4111210356864
1260,20000707,BOS,ATL,False,BOS07,Fenway Park,Boston,4010.9713255337056,1507.219235040713
1261,20000707,OAK,ARI,False,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,1041.6638382813173
1262,20000707,SEA,LAN,False,SEA03,Safeco Field,Seattle,0.0,3684.522975297191
1263,20000707,TEX,SDN,False,ARL02,Rangers Ballpark in Arlington,Arlington,0.0,2236.777011410713
1264,20000708,CHN,CHA,True,CHI11,Wrigley Field,Chicago,10159.00877586389,1315.6827805633404
1265,20000708,CIN,CLE,True,CIN08,Cinergy Field,Cincinnati,0.0,682.7086257136433
1266,20000708,FLO,TBA,False,MIA01,Sun Life Stadium,Miami,0.0,2432.0584526242806
1267,20000708,HOU,KCA,False,HOU03,Minute Maid Park,Houston,1830.9507633957282,2094.2172206168743
1268,20000708,MIL,DET,False,MIL05,County Stadium,Milwaukee,522.3574047614876,2950.9176713004044
1269,20000708,MON,TOR,False,MON02,Stade Olympique,Montreal,0.0,505.2947101266774
1270,20000708,NYN,NYA,True,NYC17,Shea Stadium,New York,10870.832449398718,3926.295550369479
1271,20000708,PHI,BAL,False,PHI12,Veterans Stadium,Philadelphia,3351.29798207518,144.3618561155261
1272,20000708,PIT,MIN,False,PIT07,Three Rivers Stadium,Pittsburgh,0.0,1196.6777926724924
1273,20000708,SLN,SFN,True,STL09,Busch Stadium II,St. Louis,0.0,1706.2963552807519
1274,20000708,ANA,COL,True,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,3090.4111210356864
1275,20000708,BOS,ATL,False,BOS07,Fenway Park,Boston,4010.9713255337056,1507.219235040713
1276,20000708,NYA,NYN,False,NYC16,Yankee Stadium I,New York,3926.295550369479,10870.832449398718
1277,20000708,OAK,ARI,False,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,1041.6638382813173
1278,20000708,SEA,LAN,False,SEA03,Safeco Field,Seattle,0.0,3684.522975297191
1279,20000708,TEX,SDN,False,ARL02,Rangers Ballpark in Arlington,Arlington,0.0,2236.777011410713
1280,20000709,CHN,CHA,True,CHI11,Wrigley Field,Chicago,10159.00877586389,1315.6827805633404
1281,20000709,CIN,CLE,True,CIN08,Cinergy Field,Cincinnati,0.0,682.7086257136433
1282,20000709,FLO,TBA,True,MIA01,Sun Life Stadium,Miami,0.0,2432.0584526242806
1283,20000709,HOU,KCA,True,HOU03,Minute Maid Park,Houston,1830.9507633957282,2094.2172206168743
1284,20000709,MIL,DET,True,MIL05,County Stadium,Milwaukee,522.3574047614876,2950.9176713004044
1285,20000709,MON,TOR,True,MON02,Stade Olympique,Montreal,0.0,505.2947101266774
1286,20000709,NYN,NYA,True,NYC17,Shea Stadium,New York,10870.832449398718,3926.295550369479
1287,20000709,PHI,BAL,True,PHI12,Veterans Stadium,Philadelphia,3351.29798207518,144.3618561155261
1288,20000709,PIT,MIN,True,PIT07,Three Rivers Stadium,Pittsburgh,0.0,1196.6777926724924
1289,20000709,SLN,SFN,True,STL09,Busch Stadium II,St. Louis,0.0,1706.2963552807519
1290,20000709,ANA,COL,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,3090.4111210356864
1291,20000709,BOS,ATL,True,BOS07,Fenway Park,Boston,4010.9713255337056,1507.219235040713
1292,20000709,OAK,ARI,True,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,1041.6638382813173
1293,20000709,SEA,LAN,True,SEA03,Safeco Field,Seattle,0.0,3684.522975297191
1294,20000709,TEX,SDN,False,ARL02,Rangers Ballpark in Arlington,Arlington,0.0,2236.777011410713
1295,20000713,ARI,TEX,False,PHO01,Chase Field,Phoenix,0.0,1398.2893664891412
1296,20000713,COL,CIN,False,DEN02,Coors Field,Denver,1950.2528819683787,1760.4983271764347
1297,20000713,LAN,ANA,False,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,39.06753002469757
1298,20000713,SDN,SEA,True,SAN01,Qualcomm Stadium,San Diego,3915.39807350928,1709.5638596003644
1299,20000713,SFN,OAK,False,SFO03,Oracle Park,San Francisco,4175.4954817182615,13.38528682775869
1300,20000713,BAL,ATL,False,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,928.6841492574893
1301,20000713,BOS,NYN,False,BOS07,Fenway Park,Boston,4010.9713255337056,10814.141529941931
1302,20000713,CHA,SLN,False,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,1315.6827805633404,421.51514717053055
1303,20000713,CLE,PIT,False,CLE08,Progressive Field,Cleveland,496.24153962192827,185.37444076280923
1304,20000713,DET,HOU,False,DET05,Comerica Park,Detroit,3353.596216190899,330.73691421020663
1305,20000713,KCA,MIL,False,KAN06,Kauffman Stadium,Kansas City,1365.4101499105916,870.2693592426324
1306,20000713,MIN,CHN,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,9604.97274016151
1307,20000713,NYA,FLO,False,NYC16,Yankee Stadium I,New York,3926.295550369479,1753.0763004355238
1308,20000713,TBA,MON,False,STP01,Tropicana Field,St. Petersburg,7290.366266978277,6436.506244467705
1309,20000713,TOR,PHI,False,TOR02,Rogers Centre,Toronto,0.0,3042.07926515712
1310,20000714,ARI,TEX,False,PHO01,Chase Field,Phoenix,0.0,1398.2893664891412
1311,20000714,COL,CIN,False,DEN02,Coors Field,Denver,1950.2528819683787,1760.4983271764347
1312,20000714,LAN,ANA,False,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,39.06753002469757
1313,20000714,SDN,SEA,False,SAN01,Qualcomm Stadium,San Diego,3915.39807350928,1709.5638596003644
1314,20000714,SFN,OAK,False,SFO03,Oracle Park,San Francisco,4175.4954817182615,13.38528682775869
1315,20000714,BAL,ATL,False,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,928.6841492574893
1316,20000714,BOS,NYN,False,BOS07,Fenway Park,Boston,4010.9713255337056,10814.141529941931
1317,20000714,CHA,SLN,False,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,1315.6827805633404,421.51514717053055
1318,20000714,CLE,PIT,False,CLE08,Progressive Field,Cleveland,496.24153962192827,185.37444076280923
1319,20000714,DET,HOU,False,DET05,Comerica Park,Detroit,3353.596216190899,330.73691421020663
1320,20000714,KCA,MIL,False,KAN06,Kauffman Stadium,Kansas City,1365.4101499105916,870.2693592426324
1321,20000714,MIN,CHN,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,9604.97274016151
1322,20000714,NYA,FLO,False,NYC16,Yankee Stadium I,New York,3926.295550369479,1753.0763004355238
1323,20000714,TBA,MON,False,STP01,Tropicana Field,St. Petersburg,7290.366266978277,6436.506244467705
1324,20000714,TOR,PHI,False,TOR02,Rogers Centre,Toronto,0.0,3042.07926515712
1325,20000715,ARI,TEX,True,PHO01,Chase Field,Phoenix,0.0,1398.2893664891412
1326,20000715,COL,CIN,True,DEN02,Coors Field,Denver,1950.2528819683787,1760.4983271764347
1327,20000715,LAN,ANA,True,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,39.06753002469757
1328,20000715,SDN,SEA,False,SAN01,Qualcomm Stadium,San Diego,3915.39807350928,1709.5638596003644
1329,20000715,SFN,OAK,True,SFO03,Oracle Park,San Francisco,4175.4954817182615,13.38528682775869
1330,20000715,BAL,ATL,True,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,928.6841492574893
1331,20000715,BOS,NYN,True,BOS07,Fenway Park,Boston,4010.9713255337056,10814.141529941931
1332,20000715,CHA,SLN,False,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,1315.6827805633404,421.51514717053055
1333,20000715,CLE,PIT,True,CLE08,Progressive Field,Cleveland,496.24153962192827,185.37444076280923
1334,20000715,DET,HOU,True,DET05,Comerica Park,Detroit,3353.596216190899,330.73691421020663
1335,20000715,KCA,MIL,False,KAN06,Kauffman Stadium,Kansas City,1365.4101499105916,870.2693592426324
1336,20000715,MIN,CHN,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,9604.97274016151
1337,20000715,TBA,MON,True,STP01,Tropicana Field,St. Petersburg,7290.366266978277,6436.506244467705
1338,20000715,TOR,PHI,True,TOR02,Rogers Centre,Toronto,0.0,3042.07926515712
1339,20000716,ARI,SEA,True,PHO01,Chase Field,Phoenix,0.0,1792.4551436881254
1340,20000716,LAN,PIT,False,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,3439.148162606461
1341,20000716,SDN,ANA,True,SAN01,Qualcomm Stadium,San Diego,3915.39807350928,142.21396670803833
1342,20000716,SFN,TEX,True,SFO03,Oracle Park,San Francisco,4175.4954817182615,2362.5298722750576
1343,20000716,BAL,FLO,True,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,1535.9205711528523
1344,20000716,BOS,MON,True,BOS07,Fenway Park,Boston,4010.9713255337056,403.5899130426819
1345,20000716,CHA,MIL,True,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,1315.6827805633404,405.5294155055259
1346,20000716,CLE,HOU,True,CLE08,Progressive Field,Cleveland,496.24153962192827,185.37444076280923
1347,20000716,DET,CIN,True,DET05,Comerica Park,Detroit,3353.596216190899,379.46032692348916
1348,20000716,KCA,CHN,False,KAN06,Kauffman Stadium,Kansas City,1365.4101499105916,10027.467254045505
1349,20000716,MIN,SLN,True,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,749.9143278472116
1350,20000716,NYA,PHI,True,NYC16,Yankee Stadium I,New York,3926.295550369479,3450.9483903126825
